week_index,week_start,scenario,throughput_cards_week,cards_completed_est,remaining_est
0,2026-04-16,optimista,11.2,0.0,59.0
1,2026-04-23,optimista,11.2,11.2,47.8
2,2026-04-30,optimista,11.2,22.4,36.6
3,2026-05-07,optimista,11.2,33.6,25.4
4,2026-05-14,optimista,11.2,44.8,14.2
5,2026-05-21,optimista,11.2,56.0,3.0
6,2026-05-28,optimista,11.2,59,0
0,2026-04-16,base,4.0,0.0,59.0
1,2026-04-23,base,4.0,4.0,55.0
2,2026-04-30,base,4.0,8.0,51.0
3,2026-05-07,base,4.0,12.0,47.0
4,2026-05-14,base,4.0,16.0,43.0
5,2026-05-21,base,4.0,20.0,39.0
6,2026-05-28,base,4.0,24.0,35.0
7,2026-06-04,base,4.0,28.0,31.0
8,2026-06-11,base,4.0,32.0,27.0
9,2026-06-18,base,4.0,36.0,23.0
10,2026-06-25,base,4.0,40.0,19.0
11,2026-07-02,base,4.0,44.0,15.0
12,2026-07-09,base,4.0,48.0,11.0
13,2026-07-16,base,4.0,52.0,7.0
14,2026-07-23,base,4.0,56.0,3.0
15,2026-07-30,base,4.0,59,0
0,2026-04-16,conservadora,3.0,0.0,59.0
1,2026-04-23,conservadora,3.0,3.0,56.0
2,2026-04-30,conservadora,3.0,6.0,53.0
3,2026-05-07,conservadora,3.0,9.0,50.0
4,2026-05-14,conservadora,3.0,12.0,47.0
5,2026-05-21,conservadora,3.0,15.0,44.0
6,2026-05-28,conservadora,3.0,18.0,41.0
7,2026-06-04,conservadora,3.0,21.0,38.0
8,2026-06-11,conservadora,3.0,24.0,35.0
9,2026-06-18,conservadora,3.0,27.0,32.0
10,2026-06-25,conservadora,3.0,30.0,29.0
11,2026-07-02,conservadora,3.0,33.0,26.0
12,2026-07-09,conservadora,3.0,36.0,23.0
13,2026-07-16,conservadora,3.0,39.0,20.0
14,2026-07-23,conservadora,3.0,42.0,17.0
15,2026-07-30,conservadora,3.0,45.0,14.0
16,2026-08-06,conservadora,3.0,48.0,11.0
17,2026-08-13,conservadora,3.0,51.0,8.0
18,2026-08-20,conservadora,3.0,54.0,5.0
19,2026-08-27,conservadora,3.0,57.0,2.0
20,2026-09-03,conservadora,3.0,59,0
